"MapManBin"	"GO.Term"	"GO.Name"	"GO.Ontolgy"	"GO.depth"	"Bin.Description"
"10.1.2.1"	"GO:0005507"	"copper ion binding"	"MF"	7	"Polyamine metabolism.putrescine.degradation.diamine oxidase"
"10.1.2.1"	"GO:0008131"	"primary amine oxidase activity"	"MF"	6	"Polyamine metabolism.putrescine.degradation.diamine oxidase"
"10.1.2.1"	"GO:0009308"	"amine metabolic process"	"BP"	6	"Polyamine metabolism.putrescine.degradation.diamine oxidase"
"10.1.2.1"	"GO:0016491"	"oxidoreductase activity"	"MF"	3	"Polyamine metabolism.putrescine.degradation.diamine oxidase"
"10.1.2.1"	"GO:0046872"	"metal ion binding"	"MF"	5	"Polyamine metabolism.putrescine.degradation.diamine oxidase"
"10.1.2.1"	"GO:0048038"	"quinone binding"	"MF"	4	"Polyamine metabolism.putrescine.degradation.diamine oxidase"
"10.1.2.1"	"GO:0052593"	"tryptamine:oxygen oxidoreductase (deaminating) activity"	"MF"	6	"Polyamine metabolism.putrescine.degradation.diamine oxidase"
"10.1.2.1"	"GO:0052594"	"aminoacetone:oxygen oxidoreductase(deaminating) activity"	"MF"	6	"Polyamine metabolism.putrescine.degradation.diamine oxidase"
"10.1.2.1"	"GO:0052595"	"aliphatic-amine oxidase activity"	"MF"	6	"Polyamine metabolism.putrescine.degradation.diamine oxidase"
"10.1.2.1"	"GO:0052596"	"phenethylamine:oxygen oxidoreductase (deaminating) activity"	"MF"	6	"Polyamine metabolism.putrescine.degradation.diamine oxidase"
"10.1.2.1"	"GO:0055114"	"oxidation-reduction process"	"BP"	3	"Polyamine metabolism.putrescine.degradation.diamine oxidase"
"10.2.1.1"	"GO:0004014"	"adenosylmethionine decarboxylase activity"	"MF"	6	"Polyamine metabolism.spermidine/spermine.synthesis.S-adenosyl methionine decarboxylase"
"10.2.1.1"	"GO:0006557"	"S-adenosylmethioninamine biosynthetic process"	"BP"	43	"Polyamine metabolism.spermidine/spermine.synthesis.S-adenosyl methionine decarboxylase"
"10.2.1.1"	"GO:0006596"	"polyamine biosynthetic process"	"BP"	20	"Polyamine metabolism.spermidine/spermine.synthesis.S-adenosyl methionine decarboxylase"
"10.2.1.1"	"GO:0006597"	"spermine biosynthetic process"	"BP"	23	"Polyamine metabolism.spermidine/spermine.synthesis.S-adenosyl methionine decarboxylase"
"10.2.1.1"	"GO:0008295"	"spermidine biosynthetic process"	"BP"	23	"Polyamine metabolism.spermidine/spermine.synthesis.S-adenosyl methionine decarboxylase"
"10.2.1.1"	"GO:0016829"	"lyase activity"	"MF"	3	"Polyamine metabolism.spermidine/spermine.synthesis.S-adenosyl methionine decarboxylase"
"10.2.1.1"	"GO:0016831"	"carboxy-lyase activity"	"MF"	5	"Polyamine metabolism.spermidine/spermine.synthesis.S-adenosyl methionine decarboxylase"
"10.2.1.2"	"GO:0003824"	"catalytic activity"	"MF"	2	"Polyamine metabolism.spermidine/spermine.synthesis.spermidine synthase"
"10.2.1.2"	"GO:0004766"	"spermidine synthase activity"	"MF"	5	"Polyamine metabolism.spermidine/spermine.synthesis.spermidine synthase"
"10.2.1.2"	"GO:0006595"	"polyamine metabolic process"	"BP"	12	"Polyamine metabolism.spermidine/spermine.synthesis.spermidine synthase"
"10.2.1.2"	"GO:0006596"	"polyamine biosynthetic process"	"BP"	20	"Polyamine metabolism.spermidine/spermine.synthesis.spermidine synthase"
"10.2.1.2"	"GO:0008295"	"spermidine biosynthetic process"	"BP"	23	"Polyamine metabolism.spermidine/spermine.synthesis.spermidine synthase"
"10.2.1.2"	"GO:0016740"	"transferase activity"	"MF"	3	"Polyamine metabolism.spermidine/spermine.synthesis.spermidine synthase"
"10.2.1.4"	"GO:0003824"	"catalytic activity"	"MF"	2	"Polyamine metabolism.spermidine/spermine.synthesis.thermospermine synthase"
"10.2.1.4"	"GO:0005737"	"cytoplasm"	"CC"	6	"Polyamine metabolism.spermidine/spermine.synthesis.thermospermine synthase"
"10.2.1.4"	"GO:0006596"	"polyamine biosynthetic process"	"BP"	20	"Polyamine metabolism.spermidine/spermine.synthesis.thermospermine synthase"
"10.2.1.4"	"GO:0009926"	"auxin polar transport"	"BP"	10	"Polyamine metabolism.spermidine/spermine.synthesis.thermospermine synthase"
"10.2.1.4"	"GO:0010087"	"phloem or xylem histogenesis"	"BP"	5	"Polyamine metabolism.spermidine/spermine.synthesis.thermospermine synthase"
"10.2.1.4"	"GO:0010487"	"thermospermine synthase activity"	"MF"	5	"Polyamine metabolism.spermidine/spermine.synthesis.thermospermine synthase"
"10.2.1.4"	"GO:0016740"	"transferase activity"	"MF"	3	"Polyamine metabolism.spermidine/spermine.synthesis.thermospermine synthase"
"10.2.1.4"	"GO:0016768"	"spermine synthase activity"	"MF"	5	"Polyamine metabolism.spermidine/spermine.synthesis.thermospermine synthase"
"10.2.1.4"	"GO:0048759"	"xylem vessel member cell differentiation"	"BP"	11	"Polyamine metabolism.spermidine/spermine.synthesis.thermospermine synthase"
"10.2.2.1"	"GO:0006598"	"polyamine catabolic process"	"BP"	18	"Polyamine metabolism.spermidine/spermine.degradation.polyamine oxidase"
"10.2.2.1"	"GO:0016491"	"oxidoreductase activity"	"MF"	3	"Polyamine metabolism.spermidine/spermine.degradation.polyamine oxidase"
"10.2.2.1"	"GO:0046208"	"spermine catabolic process"	"BP"	21	"Polyamine metabolism.spermidine/spermine.degradation.polyamine oxidase"
"10.2.2.1"	"GO:0046592"	"polyamine oxidase activity"	"MF"	6	"Polyamine metabolism.spermidine/spermine.degradation.polyamine oxidase"
"10.2.2.1"	"GO:0050660"	"flavin adenine dinucleotide binding"	"MF"	12	"Polyamine metabolism.spermidine/spermine.degradation.polyamine oxidase"
"10.2.2.1"	"GO:0052894"	"norspermine:oxygen oxidoreductase activity"	"MF"	6	"Polyamine metabolism.spermidine/spermine.degradation.polyamine oxidase"
"10.2.2.1"	"GO:0052895"	"N1-acetylspermine:oxygen oxidoreductase (N1-acetylspermidine-forming) activity"	"MF"	6	"Polyamine metabolism.spermidine/spermine.degradation.polyamine oxidase"
"10.2.2.1"	"GO:0052901"	"spermine:oxygen oxidoreductase (spermidine-forming) activity"	"MF"	6	"Polyamine metabolism.spermidine/spermine.degradation.polyamine oxidase"
"10.2.2.1"	"GO:0055114"	"oxidation-reduction process"	"BP"	3	"Polyamine metabolism.spermidine/spermine.degradation.polyamine oxidase"
"10.2.3.1"	"GO:0006596"	"polyamine biosynthetic process"	"BP"	20	"Polyamine metabolism.spermidine/spermine.conjugation.spermidine hydroxycinnamoyl CoA acyltransferase"
"10.2.3.1"	"GO:0008216"	"spermidine metabolic process"	"BP"	14	"Polyamine metabolism.spermidine/spermine.conjugation.spermidine hydroxycinnamoyl CoA acyltransferase"
"10.2.3.1"	"GO:0016740"	"transferase activity"	"MF"	3	"Polyamine metabolism.spermidine/spermine.conjugation.spermidine hydroxycinnamoyl CoA acyltransferase"
"10.2.3.1"	"GO:0016746"	"transferase activity, transferring acyl groups"	"MF"	4	"Polyamine metabolism.spermidine/spermine.conjugation.spermidine hydroxycinnamoyl CoA acyltransferase"
"10.2.3.1"	"GO:0016747"	"transferase activity, transferring acyl groups other than amino-acyl groups"	"MF"	5	"Polyamine metabolism.spermidine/spermine.conjugation.spermidine hydroxycinnamoyl CoA acyltransferase"
"10.2.3.2"	"GO:0009555"	"pollen development"	"BP"	7	"Polyamine metabolism.spermidine/spermine.conjugation.spermidine hydroxycinnamoyl transferase"
"10.2.3.2"	"GO:0010584"	"pollen exine formation"	"BP"	23	"Polyamine metabolism.spermidine/spermine.conjugation.spermidine hydroxycinnamoyl transferase"
"10.2.3.2"	"GO:0016410"	"N-acyltransferase activity"	"MF"	6	"Polyamine metabolism.spermidine/spermine.conjugation.spermidine hydroxycinnamoyl transferase"
"10.2.3.2"	"GO:0016740"	"transferase activity"	"MF"	3	"Polyamine metabolism.spermidine/spermine.conjugation.spermidine hydroxycinnamoyl transferase"
"10.2.3.2"	"GO:0016746"	"transferase activity, transferring acyl groups"	"MF"	4	"Polyamine metabolism.spermidine/spermine.conjugation.spermidine hydroxycinnamoyl transferase"
"10.2.3.2"	"GO:0016747"	"transferase activity, transferring acyl groups other than amino-acyl groups"	"MF"	5	"Polyamine metabolism.spermidine/spermine.conjugation.spermidine hydroxycinnamoyl transferase"
"10.2.3.2"	"GO:0080072"	"spermidine:sinapoyl CoA N-acyltransferase activity"	"MF"	7	"Polyamine metabolism.spermidine/spermine.conjugation.spermidine hydroxycinnamoyl transferase"
"10.2.3.2"	"GO:0080073"	"spermidine:coumaroyl CoA N-acyltransferase activity"	"MF"	7	"Polyamine metabolism.spermidine/spermine.conjugation.spermidine hydroxycinnamoyl transferase"
"10.2.3.2"	"GO:0080074"	"spermidine:caffeoyl CoA N-acyltransferase activity"	"MF"	7	"Polyamine metabolism.spermidine/spermine.conjugation.spermidine hydroxycinnamoyl transferase"
"10.2.3.2"	"GO:0080075"	"spermidine:feruloyl CoA N-acyltransferase activity"	"MF"	7	"Polyamine metabolism.spermidine/spermine.conjugation.spermidine hydroxycinnamoyl transferase"
"10.2.3.2"	"GO:0080088"	"spermidine hydroxycinnamate conjugate biosynthetic process"	"BP"	16	"Polyamine metabolism.spermidine/spermine.conjugation.spermidine hydroxycinnamoyl transferase"
"1.1.1.1.1"	"GO:0009507"	"chloroplast"	"CC"	13	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb1/2/3-type component"
"1.1.1.1.1"	"GO:0009522"	"photosystem I"	"CC"	15	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb1/2/3-type component"
"1.1.1.1.1"	"GO:0009523"	"photosystem II"	"CC"	15	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb1/2/3-type component"
"1.1.1.1.1"	"GO:0009535"	"chloroplast thylakoid membrane"	"CC"	27	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb1/2/3-type component"
"1.1.1.1.1"	"GO:0009536"	"plastid"	"CC"	12	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb1/2/3-type component"
"1.1.1.1.1"	"GO:0009579"	"thylakoid"	"CC"	6	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb1/2/3-type component"
"1.1.1.1.1"	"GO:0009765"	"photosynthesis, light harvesting"	"BP"	8	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb1/2/3-type component"
"1.1.1.1.1"	"GO:0015979"	"photosynthesis"	"BP"	5	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb1/2/3-type component"
"1.1.1.1.1"	"GO:0016020"	"membrane"	"CC"	2	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb1/2/3-type component"
"1.1.1.1.1"	"GO:0016021"	"integral component of membrane"	"CC"	5	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb1/2/3-type component"
"1.1.1.1.1"	"GO:0016168"	"chlorophyll binding"	"MF"	6	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb1/2/3-type component"
"1.1.1.1.1"	"GO:0018298"	"protein-chromophore linkage"	"BP"	16	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb1/2/3-type component"
"1.1.1.1.1"	"GO:0046872"	"metal ion binding"	"MF"	5	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb1/2/3-type component"
"11.1.1.1"	"GO:0009414"	"response to water deprivation"	"BP"	10	"Phytohormone metabolism and perception.abscisic acid.synthesis.zeaxanthin epoxidase"
"11.1.1.1"	"GO:0009507"	"chloroplast"	"CC"	13	"Phytohormone metabolism and perception.abscisic acid.synthesis.zeaxanthin epoxidase"
"11.1.1.1"	"GO:0009536"	"plastid"	"CC"	12	"Phytohormone metabolism and perception.abscisic acid.synthesis.zeaxanthin epoxidase"
"11.1.1.1"	"GO:0009540"	"zeaxanthin epoxidase [overall] activity"	"MF"	7	"Phytohormone metabolism and perception.abscisic acid.synthesis.zeaxanthin epoxidase"
"11.1.1.1"	"GO:0009688"	"abscisic acid biosynthetic process"	"BP"	37	"Phytohormone metabolism and perception.abscisic acid.synthesis.zeaxanthin epoxidase"
"11.1.1.1"	"GO:0016020"	"membrane"	"CC"	2	"Phytohormone metabolism and perception.abscisic acid.synthesis.zeaxanthin epoxidase"
"11.1.1.1"	"GO:0016123"	"xanthophyll biosynthetic process"	"BP"	24	"Phytohormone metabolism and perception.abscisic acid.synthesis.zeaxanthin epoxidase"
"11.1.1.1"	"GO:0016491"	"oxidoreductase activity"	"MF"	3	"Phytohormone metabolism and perception.abscisic acid.synthesis.zeaxanthin epoxidase"
"11.1.1.1"	"GO:0044550"	"secondary metabolite biosynthetic process"	"BP"	5	"Phytohormone metabolism and perception.abscisic acid.synthesis.zeaxanthin epoxidase"
"11.1.1.1"	"GO:0055114"	"oxidation-reduction process"	"BP"	3	"Phytohormone metabolism and perception.abscisic acid.synthesis.zeaxanthin epoxidase"
"11.1.1.1"	"GO:0071949"	"FAD binding"	"MF"	13	"Phytohormone metabolism and perception.abscisic acid.synthesis.zeaxanthin epoxidase"
"11.1.1.2"	"GO:0009507"	"chloroplast"	"CC"	13	"Phytohormone metabolism and perception.abscisic acid.synthesis.neoxanthin synthase"
"11.1.1.2"	"GO:0009536"	"plastid"	"CC"	12	"Phytohormone metabolism and perception.abscisic acid.synthesis.neoxanthin synthase"
"11.1.1.2"	"GO:0016117"	"carotenoid biosynthetic process"	"BP"	22	"Phytohormone metabolism and perception.abscisic acid.synthesis.neoxanthin synthase"
"11.1.1.2"	"GO:0016705"	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	"MF"	4	"Phytohormone metabolism and perception.abscisic acid.synthesis.neoxanthin synthase"
"11.1.1.2"	"GO:0016853"	"isomerase activity"	"MF"	3	"Phytohormone metabolism and perception.abscisic acid.synthesis.neoxanthin synthase"
"11.1.1.2"	"GO:0055114"	"oxidation-reduction process"	"BP"	3	"Phytohormone metabolism and perception.abscisic acid.synthesis.neoxanthin synthase"
"1.1.1.1.2"	"GO:0009507"	"chloroplast"	"CC"	13	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb4-type component"
"1.1.1.1.2"	"GO:0009522"	"photosystem I"	"CC"	15	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb4-type component"
"1.1.1.1.2"	"GO:0009523"	"photosystem II"	"CC"	15	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb4-type component"
"1.1.1.1.2"	"GO:0009534"	"chloroplast thylakoid"	"CC"	21	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb4-type component"
"1.1.1.1.2"	"GO:0009535"	"chloroplast thylakoid membrane"	"CC"	27	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb4-type component"
"1.1.1.1.2"	"GO:0009536"	"plastid"	"CC"	12	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb4-type component"
"1.1.1.1.2"	"GO:0009579"	"thylakoid"	"CC"	6	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb4-type component"
"1.1.1.1.2"	"GO:0009637"	"response to blue light"	"BP"	6	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb4-type component"
"1.1.1.1.2"	"GO:0009765"	"photosynthesis, light harvesting"	"BP"	8	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb4-type component"
"1.1.1.1.2"	"GO:0009768"	"photosynthesis, light harvesting in photosystem I"	"BP"	9	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb4-type component"
"1.1.1.1.2"	"GO:0009941"	"chloroplast envelope"	"CC"	21	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb4-type component"
"1.1.1.1.2"	"GO:0010114"	"response to red light"	"BP"	7	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb4-type component"
"1.1.1.1.2"	"GO:0010218"	"response to far red light"	"BP"	7	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb4-type component"
"1.1.1.1.2"	"GO:0010287"	"plastoglobule"	"CC"	20	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb4-type component"
"1.1.1.1.2"	"GO:0015979"	"photosynthesis"	"BP"	5	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb4-type component"
"1.1.1.1.2"	"GO:0016020"	"membrane"	"CC"	2	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb4-type component"
"1.1.1.1.2"	"GO:0016021"	"integral component of membrane"	"CC"	5	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb4-type component"
"1.1.1.1.2"	"GO:0016168"	"chlorophyll binding"	"MF"	6	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb4-type component"
"1.1.1.1.2"	"GO:0018298"	"protein-chromophore linkage"	"BP"	16	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb4-type component"
"1.1.1.1.2"	"GO:0031409"	"pigment binding"	"MF"	3	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb4-type component"
"1.1.1.1.2"	"GO:0046872"	"metal ion binding"	"MF"	5	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb4-type component"
"11.1.1.3"	"GO:0009507"	"chloroplast"	"CC"	13	"Phytohormone metabolism and perception.abscisic acid.synthesis.neoxanthin cleavage protein"
"11.1.1.3"	"GO:0009536"	"plastid"	"CC"	12	"Phytohormone metabolism and perception.abscisic acid.synthesis.neoxanthin cleavage protein"
"11.1.1.3"	"GO:0009688"	"abscisic acid biosynthetic process"	"BP"	37	"Phytohormone metabolism and perception.abscisic acid.synthesis.neoxanthin cleavage protein"
"11.1.1.3"	"GO:0016491"	"oxidoreductase activity"	"MF"	3	"Phytohormone metabolism and perception.abscisic acid.synthesis.neoxanthin cleavage protein"
"11.1.1.3"	"GO:0016702"	"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen"	"MF"	6	"Phytohormone metabolism and perception.abscisic acid.synthesis.neoxanthin cleavage protein"
"11.1.1.3"	"GO:0045549"	"9-cis-epoxycarotenoid dioxygenase activity"	"MF"	8	"Phytohormone metabolism and perception.abscisic acid.synthesis.neoxanthin cleavage protein"
"11.1.1.3"	"GO:0046872"	"metal ion binding"	"MF"	5	"Phytohormone metabolism and perception.abscisic acid.synthesis.neoxanthin cleavage protein"
"11.1.1.3"	"GO:0051213"	"dioxygenase activity"	"MF"	4	"Phytohormone metabolism and perception.abscisic acid.synthesis.neoxanthin cleavage protein"
"11.1.1.3"	"GO:0055114"	"oxidation-reduction process"	"BP"	3	"Phytohormone metabolism and perception.abscisic acid.synthesis.neoxanthin cleavage protein"
"1.1.1.1.3"	"GO:0005515"	"protein binding"	"MF"	3	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb5-type component"
"1.1.1.1.3"	"GO:0009507"	"chloroplast"	"CC"	13	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb5-type component"
"1.1.1.1.3"	"GO:0009517"	"PSII associated light-harvesting complex II"	"CC"	35	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb5-type component"
"1.1.1.1.3"	"GO:0009522"	"photosystem I"	"CC"	15	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb5-type component"
"1.1.1.1.3"	"GO:0009523"	"photosystem II"	"CC"	15	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb5-type component"
"1.1.1.1.3"	"GO:0009534"	"chloroplast thylakoid"	"CC"	21	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb5-type component"
"1.1.1.1.3"	"GO:0009535"	"chloroplast thylakoid membrane"	"CC"	27	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb5-type component"
"1.1.1.1.3"	"GO:0009536"	"plastid"	"CC"	12	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb5-type component"
"1.1.1.1.3"	"GO:0009579"	"thylakoid"	"CC"	6	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb5-type component"
"1.1.1.1.3"	"GO:0009637"	"response to blue light"	"BP"	6	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb5-type component"
"1.1.1.1.3"	"GO:0009765"	"photosynthesis, light harvesting"	"BP"	8	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb5-type component"
"1.1.1.1.3"	"GO:0009768"	"photosynthesis, light harvesting in photosystem I"	"BP"	9	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb5-type component"
"1.1.1.1.3"	"GO:0009783"	"photosystem II antenna complex"	"CC"	16	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb5-type component"
"1.1.1.1.3"	"GO:0009941"	"chloroplast envelope"	"CC"	21	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb5-type component"
"1.1.1.1.3"	"GO:0010114"	"response to red light"	"BP"	7	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb5-type component"
"1.1.1.1.3"	"GO:0010196"	"nonphotochemical quenching"	"BP"	7	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb5-type component"
"1.1.1.1.3"	"GO:0010207"	"photosystem II assembly"	"BP"	19	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb5-type component"
"1.1.1.1.3"	"GO:0010218"	"response to far red light"	"BP"	7	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb5-type component"
"1.1.1.1.3"	"GO:0010287"	"plastoglobule"	"CC"	20	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb5-type component"
"1.1.1.1.3"	"GO:0015979"	"photosynthesis"	"BP"	5	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb5-type component"
"1.1.1.1.3"	"GO:0016020"	"membrane"	"CC"	2	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb5-type component"
"1.1.1.1.3"	"GO:0016021"	"integral component of membrane"	"CC"	5	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb5-type component"
"1.1.1.1.3"	"GO:0016168"	"chlorophyll binding"	"MF"	6	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb5-type component"
"1.1.1.1.3"	"GO:0018298"	"protein-chromophore linkage"	"BP"	16	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb5-type component"
"1.1.1.1.3"	"GO:0019904"	"protein domain specific binding"	"MF"	4	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb5-type component"
"1.1.1.1.3"	"GO:0031409"	"pigment binding"	"MF"	3	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb5-type component"
"1.1.1.1.3"	"GO:0042651"	"thylakoid membrane"	"CC"	10	"Photosynthesis.light-dependent reactions.photosystem II.LHC-II complex.LHCb5-type component"
